zip, total
36585, 475605
36584, 475592
36581, 475553
36583, 475579
36529, 474877
36539, 475007
36538, 474994
36548, 475124
36513, 474669
36558, 475254
36518, 474734
36556, 475228
36522, 474786
36435, 473655
36768, 477984
36784, 478192
36751, 477763
36728, 477464
36030, 468390
36726, 477438
36753, 477789
36769, 477997
36766, 477958
36761, 477893
36720, 477360
36723, 477399
36721, 477373
36722, 477386
36741, 477633
35098, 456274
35565, 462345
35572, 462436
35540, 462020
35553, 462189
35503, 461539
35541, 462033
35551, 462163
35575, 462475
35053, 455689
35578, 462514
35577, 462501
86544, 86544
86556, 86556
86540, 86540
86512, 86512
85932, 85932
86545, 86545
86547, 86547
85927, 85927
85940, 85940
86028, 86028
86511, 86511
85938, 85938
85930, 85930
85920, 85920
86506, 86506
85924, 85924
86515, 86515
86503, 86503
86502, 86502
86505, 86505
86504, 86504
85925, 85925
86514, 86514
86538, 86538
85936, 85936
86508, 86508
86535, 86535
86507, 86507
85671, 599697
85632, 599424
85670, 599690
85609, 599263
85602, 599214
85643, 599501
85617, 599319
85616, 599312
85615, 599305
85635, 599445
85608, 599256
85630, 599410
85644, 599508
85605, 599235
85620, 599340
85603, 599221
85607, 599249
85650, 599550
85627, 599389
85606, 599242
85636, 599452
85626, 599382
85625, 599375
85611, 599277
85655, 599585
85610, 599270
85638, 599466
85613, 599291
86336, 86336
86002, 86002
86024, 86024
86036, 86036
86022, 86022
86018, 86018
86040, 86040
86023, 86023
86003, 86003
86339, 86339
85931, 85931
86046, 86046
86020, 86020
86017, 86017
86004, 86004
86035, 86035
86045, 86045
86005, 86005
86038, 86038
86016, 86016
86435, 86435
86001, 86001
86053, 86053
86044, 86044
86015, 86015
86011, 86011
86052, 86052
85553, 427765
85502, 427510
85554, 427770
85501, 427505
85542, 427710
85541, 427705
85192, 425960
85547, 427735
85532, 427660
85545, 427725
85544, 427720
85135, 425675
85550, 427750
85539, 427695
85643, 599501
85548, 598836
85543, 598801
85531, 598717
85530, 598710
85546, 598822
85535, 598745
85552, 598864
85551, 598857
85536, 598752
85922, 601454
85533, 598731
85534, 598738
85540, 598780
85344, 256032
85359, 256077
85346, 256038
85371, 256113
85348, 256044
85357, 256071
85334, 256002
85325, 255975
85328, 255984
85248, 340992
85337, 341348
85064, 340256
85208, 340832
85202, 340808
85023, 340092
85018, 340072
85039, 340156
85297, 341188
85271, 341084
85016, 340064
85046, 340184
85061, 340244
85043, 340172
85373, 341492
85007, 340028
85038, 340152
85214, 340856
85075, 340300
85063, 340252
85331, 341324
85295, 341180
85236, 340944
85062, 340248
85376, 341504
85033, 340132
85305, 341220
85006, 340024
85065, 340260
85234, 340936
85040, 340160
85275, 341100
85001, 340004
85032, 340128
85269, 341076
85042, 340168
85323, 341292
85259, 341036
85074, 340296
85066, 340264
85396, 341584
85287, 341148
85031, 340124
85069, 340276
85041, 340164
85002, 340008
85268, 341072
85003, 340012
85067, 340268
85068, 340272
85306, 341224
85213, 340852
85210, 340840
85224, 340896
85072, 340288
85284, 341136
85004, 340016
85286, 341144
85071, 340284
85070, 340280
85073, 340292
85372, 341488
85005, 340020
85285, 341140
85207, 340828
85019, 340076
85216, 340864
85097, 340388
85045, 340180
85333, 341332
85258, 341032
85082, 340328
85296, 341184
85076, 340304
85037, 340148
85322, 341288
85022, 340088
85358, 341432
85008, 340032
85080, 340320
85310, 341240
85078, 340312
85375, 341500
85127, 340508
85079, 340316
85190, 340760
85257, 341028
85353, 341412
85307, 341228
85201, 340804
85309, 341236
85351, 341404
85246, 340984
85010, 340040
85209, 340836
85308, 341232
85086, 340344
85085, 340340
85009, 340036
85015, 340060
85087, 340348
85083, 340332
85299, 341196
85377, 341508
85021, 340084
85244, 340976
85044, 340176
85274, 341096
85020, 340080
85318, 341272
85014, 340056
85119, 340476
85354, 341416
85335, 341340
85311, 341244
85011, 340044
85098, 340392
85320, 341280
85312, 341248
85355, 341420
85374, 341496
85036, 340144
85013, 340052
85035, 340140
85120, 340480
85012, 340048
85215, 340860
85034, 340136
85381, 341524
85017, 340068
85256, 341024
85051, 340204
85048, 340192
85345, 341380
85139, 340556
85212, 340848
85338, 341352
85361, 341444
85380, 341520
85385, 341540
85304, 341216
85379, 341516
85395, 341580
85025, 340100
85030, 340120
85060, 340240
85378, 341512
85298, 341192
85383, 341532
85326, 341304
85206, 340824
85233, 340932
85260, 341040
85382, 341528
85211, 340844
85261, 341044
85283, 341132
85363, 341452
85267, 341068
85277, 341108
85024, 340096
85203, 340812
85280, 341120
85301, 341204
85329, 341316
85340, 341360
85303, 341212
85050, 340200
85205, 340820
85251, 341004
85255, 341020
85226, 340904
85266, 341064
85053, 340212
85225, 340900
85204, 340816
85250, 341000
85029, 340116
85339, 341356
85054, 340216
85249, 340996
85392, 341568
85282, 341128
85388, 341552
85343, 341372
85262, 341048
85327, 341308
85264, 341056
85281, 341124
85254, 341016
85142, 340568
85028, 340112
85387, 341548
85302, 341208
85342, 341368
85027, 340108
85390, 341560
85253, 341012
85263, 341052
85026, 340104
85252, 341008
86446, 86446
86411, 86411
86443, 86443
86432, 86432
86442, 86442
86406, 86406
86409, 86409
86427, 86427
86412, 86412
86431, 86431
86445, 86445
86413, 86413
86426, 86426
86444, 86444
86429, 86429
86430, 86430
86441, 86441
86405, 86405
85360, 85360
86436, 86436
86021, 86021
86433, 86433
86434, 86434
86403, 86403
86404, 86404
86440, 86440
86401, 86401
86437, 86437
86402, 86402
86439, 86439
86438, 86438
85941, 85941
86047, 86047
85929, 85929
85926, 85926
85928, 85928
86039, 86039
85901, 85901
86025, 86025
86029, 86029
85912, 85912
85939, 85939
86510, 86510
85933, 85933
86031, 86031
85942, 85942
86034, 86034
85937, 85937
85923, 85923
86030, 86030
86520, 86520
86033, 86033
86042, 86042
85934, 85934
85935, 85935
85911, 85911
86054, 86054
86043, 86043
85902, 85902
86032, 86032
85619, 513714
85756, 514536
85714, 514284
85731, 514386
85751, 514506
85601, 513606
85750, 514500
85602, 513612
85653, 513918
85702, 514212
85732, 514392
85713, 514278
85701, 514206
85755, 514530
85712, 514272
85754, 514524
85703, 514218
85641, 513846
85705, 514230
85706, 514236
85704, 514224
85752, 514512
85709, 514254
85708, 514248
85707, 514242
85711, 514266
85710, 514260
85723, 514338
85652, 513912
85717, 514302
85757, 514542
85715, 514290
85716, 514296
85634, 513804
85730, 514380
85775, 514650
85721, 514326
85720, 514320
85722, 514332
85719, 514314
85718, 514308
85321, 511926
85728, 514368
85633, 513798
85724, 514344
85726, 514356
85622, 513732
85725, 514350
85654, 513924
85742, 514452
85733, 514398
85734, 514404
85614, 513684
85611, 513666
85748, 514488
85736, 514416
85749, 514494
85741, 514446
85637, 513822
85735, 514410
85658, 513948
85738, 514428
85645, 513870
85740, 514440
85737, 514422
85739, 514434
85629, 513774
85743, 514458
85639, 513834
85747, 514482
85746, 514476
85745, 514470
85744, 514464
85341, 512046
85139, 425695
85128, 425640
85623, 428115
85172, 425860
85212, 426060
85618, 428090
85191, 425955
85602, 428010
85192, 425960
85123, 425615
85119, 425595
85118, 425590
85117, 425585
85122, 425610
85193, 425965
85120, 425600
85194, 425970
85121, 425605
85131, 425655
85658, 428290
85248, 426240
85653, 428265
85631, 428155
85130, 425650
85138, 425690
85132, 425660
85178, 425890
85137, 425685
85739, 428695
85141, 425705
85140, 425700
85539, 427695
85173, 425865
85143, 425715
85142, 425710
85145, 425725
85147, 425735
85640, 513840
85648, 513888
85621, 513726
85662, 513972
85645, 513870
85624, 513744
85646, 513876
85637, 513822
85611, 513666
85628, 513768
86336, 172672
86320, 172640
86329, 172658
86343, 172686
86312, 172624
86315, 172630
86302, 172604
86327, 172654
86303, 172606
86305, 172610
86342, 172684
86338, 172676
85332, 170664
86337, 172674
86304, 172608
86314, 172628
86341, 172682
86313, 172626
86340, 172680
85324, 170648
86323, 172646
86335, 172670
86326, 172652
86301, 172602
86332, 172664
86321, 172642
86322, 172644
86331, 172662
85362, 170724
86324, 172648
86333, 172666
86325, 172650
86334, 172668
86351, 172702
85390, 170780
85347, 256041
85349, 256047
85336, 256008
85350, 256050
85352, 256056
85333, 255999
85356, 256068
85369, 256107
85364, 256092
85367, 256101
85365, 256095
85366, 256098
72134, 360670
72175, 360875
72048, 360240
72055, 360275
72140, 360700
72160, 360800
72073, 360365
72003, 360015
72026, 360130
72038, 360190
72042, 360210
72166, 360830
72554, 362770
71661, 358305
71663, 358315
71676, 358380
71646, 358230
71635, 358175
71642, 358210
71220, 356100
71658, 358290
72658, 217974
72519, 217557
72642, 217926
72537, 217611
72617, 217851
72538, 217614
72659, 217977
72531, 217593
72623, 217869
72544, 217632
72635, 217905
72654, 217962
72651, 217953
72653, 217959
72626, 217878
72734, 218202
72756, 218268
72738, 218214
72747, 218241
74346, 223038
72739, 218217
72722, 218166
72732, 218196
72715, 218145
72768, 218304
72761, 218283
72764, 218292
72745, 218235
72758, 218274
72757, 218271
72712, 218136
72714, 218142
72711, 218133
72718, 218154
72733, 218199
72736, 218208
72716, 218148
72762, 218286
72751, 218253
72719, 218157
72704, 218112
65739, 197217
72630, 217890
72644, 217932
72611, 217833
72682, 218046
72602, 217806
72633, 217899
72685, 218055
72662, 217986
72615, 217845
72601, 217803
71631, 358155
71660, 358300
71651, 358255
71647, 358235
71256, 356280
71671, 358355
71675, 358375
71766, 430596
71742, 430452
71744, 430464
71701, 430206
71720, 430320
71745, 430470
72632, 217896
72740, 218220
72611, 217833
72631, 217893
72638, 217914
72662, 217986
72616, 217848
72624, 217872
72660, 217980
72613, 217839
71640, 358200
71661, 358305
71663, 358315
71653, 358265
71638, 358190
71676, 358380
71772, 287088
71999, 287996
71943, 287772
71721, 286884
71921, 287684
71728, 286912
71920, 287680
71929, 287716
71962, 287848
71998, 287992
71743, 286972
71763, 287052
71923, 287692
72424, 144848
72456, 144912
72430, 144860
72422, 144844
72435, 144870
72454, 144908
72464, 144928
72413, 144826
72470, 144940
72436, 144872
72441, 144882
72461, 144922
72450, 144900
72453, 144906
72550, 72550
72088, 72088
72545, 72545
72530, 72530
72153, 72153
72523, 72523
72137, 72137
72534, 72534
72546, 72546
72044, 72044
72179, 72179
72067, 72067
72131, 72131
72130, 72130
72143, 72143
72121, 72121
72543, 72543
72581, 72581
71660, 358300
71665, 358325
71725, 358625
71667, 358335
71671, 358355
71652, 358260
71603, 358015
71770, 430620
71764, 430584
71044, 426264
71860, 431160
71752, 430512
71753, 430518
71861, 431166
71754, 430524
71740, 430440
72823, 72823
72157, 72157
72080, 72080
72025, 72025
72156, 72156
72001, 72001
72110, 72110
72013, 72013
72125, 72125
72027, 72027
72127, 72127
72107, 72107
72030, 72030
72063, 72063
72031, 72031
72403, 144806
72427, 144854
72472, 144944
72417, 144834
72411, 144822
72402, 144804
72404, 144808
72437, 144874
72416, 144832
72476, 144952
72414, 144828
72438, 144876
72419, 144838
72467, 144934
72479, 144958
72450, 144900
72447, 144894
72401, 144802
72421, 144842
72952, 510664
72774, 509418
72956, 510692
72947, 510629
72753, 509271
72921, 510447
72955, 510685
72935, 510545
72957, 510699
72959, 510713
72948, 510636
72934, 510538
72932, 510524
72946, 510622
72364, 144728
72332, 144664
72346, 144692
72331, 144662
72376, 144752
72348, 144696
72386, 144772
72384, 144768
72325, 144650
72303, 144606
72301, 144602
72327, 144654
72339, 144678
72429, 144858
72331, 144662
72373, 144746
72346, 144692
72347, 144694
72101, 144202
72396, 144792
72324, 144648
72387, 144774
72326, 144652
72084, 360420
71748, 358740
71256, 356280
71763, 358815
71725, 358625
71742, 358710
71720, 358600
71923, 359615
71639, 358195
71643, 358215
71662, 358310
71638, 358190
71666, 358330
71630, 358150
71670, 358350
71654, 358270
72379, 361895
71674, 358370
71638, 358190
71642, 358210
71656, 358280
71667, 358335
71646, 358230
71675, 358375
71671, 358355
71670, 358350
71655, 358275
71657, 358285
71677, 358385
72035, 72035
72113, 72113
72173, 72173
72034, 72034
72039, 72039
72027, 72027
72106, 72106
72181, 72181
72058, 72058
72045, 72045
72047, 72047
72120, 72120
72033, 72033
72111, 72111
72032, 72032
72131, 72131
72023, 72023
72061, 72061
72076, 72076
72928, 510496
72721, 509047
72930, 510510
72727, 509089
72933, 510531
72820, 509740
72949, 510643
72821, 509747
72959, 510713
72941, 510587
72947, 510629
72951, 510657
72946, 510622
72513, 145026
72578, 145156
72587, 145174
72531, 145062
72515, 145030
72520, 145040
72544, 145088
72542, 145084
72583, 145166
72539, 145078
72554, 145108
